,time HR,HR,time ET,ET,time EH,EH,time ST,ST,time GSR,GSR,time Acc,Acc,time SR,SR,time Risk,Risk,time HI Risk,HI Risk,time CT Risk,CT Risk,time LR Risk,LR Risk,time est CT,est CT
0,1488326698.88915,75.0,1488326700.059513,28.26,1488326698.710447,0.46869999999999995,,,1488326698.799895,510.0,,,,,1488326703.5992599,0.005052002238497429,1488326703.5992599,0.014336771989125908,1488326703.5992599,0.000818608834652053,1488326703.5992599,6.258917143260177e-07,1488326698.88915,37.598372099852384
1,1488326700.359576,74.0,1488326701.5297458,28.35,1488326700.209716,0.46909999999999996,,,1488326700.270603,729.0,,,,,1488326708.634051,0.007606251552874313,1488326708.634051,0.021990149170798362,1488326708.634051,0.0008259962884067057,1488326708.634051,2.609199417869769e-06,1488326700.359576,37.59502345152078
2,1488326701.8302069,75.0,1488326703.0295832,28.43,1488326701.679654,0.4767,,,1488326701.739414,292.0,,,,,1488326713.658475,0.011237393292426288,1488326713.658475,0.03286838210334366,1488326713.658475,0.0008400451384864014,1488326713.658475,3.7526354487999635e-06,1488326701.8302069,37.59020737584679
3,1488326703.299768,76.0,1488326704.469897,28.53,1488326703.179523,0.5196999999999999,,,1488326703.238869,488.0,,,,,1488326718.689889,0.01378719514691,1488326718.689889,0.0405202524463806,1488326718.689889,0.0008377144022774326,1488326718.689889,3.618592071971571e-06,1488326703.299768,37.584079645768064
4,1488326704.799927,79.0,1488326705.939575,28.62,1488326704.6192489,0.557,,,1488326704.708909,521.0,,,,,1488326723.732212,0.016850049587330936,1488326723.732212,0.04972080751605518,1488326723.732212,0.000826192207129011,1488326723.732212,3.1490388086140824e-06,1488326704.799927,37.577347043690544
5,1488326706.299993,81.0,1488326707.439612,28.67,1488326706.089969,0.5919,,,1488326706.2097542,590.0,,,,,1488326728.767989,0.0190550038512754,1488326728.767989,0.05636299633305526,1488326728.767989,0.000799556640233249,1488326728.767989,2.4585805376827506e-06,1488326706.299993,37.57006164978379
6,1488326707.739777,82.0,1488326708.9089851,28.75,1488326707.560427,0.6175,,,1488326707.649566,577.0,,,,,1488326733.8095338,0.021233801580390513,1488326733.8095338,0.06292540590896778,1488326733.8095338,0.0007732531788160028,1488326733.8095338,2.7456533877575395e-06,1488326707.739777,37.56212022693176
7,1488326709.2100391,82.0,1488326710.380254,28.87,1488326709.059971,0.6322,,,1488326709.119334,522.0,,,,,1488326738.8486998,0.024028258881226283,1488326738.8486998,0.07131152020251705,1488326738.8486998,0.0007700218055702611,1488326738.8486998,3.2346355915412527e-06,1488326709.2100391,37.553271988813776
8,1488326710.6802921,82.0,1488326711.849455,28.94,1488326710.529114,0.6361,,,1488326710.5899909,503.0,,,,,1488326743.894013,0.02650263944539234,1488326743.894013,0.07870857376376705,1488326743.894013,0.0007952979269185646,1488326743.894013,4.046645491385262e-06,1488326710.6802921,37.54359787612789
9,1488326712.1802619,81.0,1488326713.320159,29.01,1488326711.999475,0.6351,,,1488326712.0600588,483.0,,,,,1488326748.936783,0.02886311087066148,1488326748.936783,0.08575423014411485,1488326748.936783,0.000830068584007531,1488326748.936783,5.033883862069088e-06,1488326712.1802619,37.53266889234116
10,1488326713.6201909,79.0,1488326714.790112,29.09,1488326713.470104,0.631,,,1488326713.5599308,460.0,,,,,1488326753.9898088,0.0308198030947949,1488326753.9898088,0.09153306981719453,1488326753.9898088,0.0009196548868527762,1488326753.9898088,6.684580337399752e-06,1488326713.6201909,37.51993731771303
11,1488326715.09011,78.0,1488326716.2604291,29.17,1488326714.939577,0.626,,,1488326715.0301812,511.0,,,,,1488326759.0380878,0.03293361847706061,1488326759.0380878,0.09779247126628775,1488326759.0380878,0.000993014705275768,1488326759.0380878,1.5369459618311067e-05,1488326715.09011,37.50595348344016
12,1488326716.589708,78.0,1488326717.73136,29.25,1488326716.409987,0.6196,,,1488326716.499587,252.0,,,,,1488326764.086695,0.03564965309602678,1488326764.086695,0.10589333668782132,1488326764.086695,0.001032915312241917,1488326764.086695,2.270728801711255e-05,1488326716.589708,37.49139530064925
13,1488326718.060321,79.0,1488326719.230164,29.32,1488326717.8799942,0.6193,,,1488326717.9697459,405.0,,,,,1488326769.136723,0.037138162119333046,1488326769.136723,0.11033858703428934,1488326769.136723,0.0010428794013509566,1488326769.136723,3.301992235884103e-05,1488326718.060321,37.47704990263639
14,1488326719.5314848,77.0,1488326720.699492,29.39,1488326719.3504472,0.6156,,,1488326719.4401212,332.0,,,,,1488326774.335946,0.03949984230344383,1488326774.335946,0.11747469877155936,1488326774.335946,0.000984483299848021,1488326774.335946,4.034483892412262e-05,1488326719.5314848,37.46092513976303
15,1488326720.999698,77.0,1488326722.170579,29.46,1488326720.8501298,0.6075,,,1488326720.910431,401.0,,,,,1488326779.457889,0.04086672361902315,1488326779.457889,0.12163425654852603,1488326779.457889,0.0009255970135495416,1488326779.457889,4.0317294993881794e-05,1488326720.999698,37.444521649559796
16,1488326722.4709902,77.0,1488326723.639759,29.54,1488326722.320369,0.5986,,,1488326722.3802292,768.0,,,,,1488326784.547235,0.043025646473117816,1488326784.547235,0.1281517788417264,1488326784.547235,0.0008858665645315891,1488326784.547235,3.9294013095427575e-05,1488326722.4709902,37.42793935555643
17,1488326723.9408,76.0,1488326725.110454,29.61,1488326723.79052,0.5903,,,1488326723.879849,469.0,,,,,1488326789.705778,0.04440357778120338,1488326789.705778,0.13228392328021357,1488326789.705778,0.0008881324472941361,1488326789.705778,3.8677616102437184e-05,1488326723.9408,37.410455921017586
18,1488326725.4104588,76.0,1488326726.610173,29.69,1488326725.261624,0.5835,,,1488326725.350552,458.0,,,,,1488326794.7779598,0.04616386017855856,1488326794.7779598,0.13756316377393915,1488326794.7779598,0.0008882497327173203,1488326794.7779598,4.01670290192049e-05,1488326725.4104588,37.39297177181073
19,1488326726.9102342,75.0,1488326728.0501812,29.75,1488326726.73011,0.5776,,,1488326726.82042,440.0,,,,,1488326799.858691,0.04762894393038738,1488326799.858691,0.14193114323104963,1488326799.858691,0.0009106784851138261,1488326799.858691,4.501007499865162e-05,1488326726.9102342,37.3746981877765
20,1488326728.380533,76.0,1488326729.549692,29.83,1488326728.200941,0.5738,,,1488326728.290784,322.0,,,,,1488326804.954559,0.04928662617428501,1488326804.954559,0.14682826541992483,1488326804.954559,0.0009694348167594714,1488326804.954559,6.217828617071989e-05,1488326728.380533,37.35748698982697
21,1488326729.850558,75.0,1488326731.020383,29.88,1488326729.670706,0.57,,,1488326729.760194,402.0,,,,,1488326810.023979,0.05085332201634197,1488326810.023979,0.15144723432587795,1488326810.023979,0.0010403933110654311,1488326810.023979,7.233841208253396e-05,1488326729.850558,37.33958099086713
22,1488326731.320965,75.0,1488326732.490165,29.96,1488326731.14225,0.5716,,,1488326731.231028,399.0,,,,,1488326815.103376,0.052206619490068974,1488326815.103376,0.15548329908875702,1488326815.103376,0.0010608911695228057,1488326815.103376,7.566821192712954e-05,1488326731.320965,37.32197382543675
23,1488326732.790824,74.0,1488326733.960175,30.03,1488326732.6398451,0.5760000000000001,,,1488326732.70073,774.0,,,,,1488326820.1841931,0.05335139299298986,1488326820.1841931,0.1589409305625378,1488326820.1841931,0.0010406768221587822,1488326820.1841931,7.25715942730074e-05,1488326732.790824,37.30375611630018
24,1488326734.26113,75.0,1488326735.430345,30.12,1488326734.110562,0.5801,,,1488326734.171487,838.0,,,,,1488326825.2730172,0.05431573547327571,1488326825.2730172,0.16180640570227753,1488326825.2730172,0.0010658282189421392,1488326825.2730172,7.497249860747433e-05,1488326734.26113,37.28694065860091
25,1488326735.730952,77.0,1488326736.901561,30.19,1488326735.5804002,0.5811999999999999,,,1488326735.669922,809.0,,,,,1488326830.3721962,0.05612683581426827,1488326830.3721962,0.16721973140294152,1488326830.3721962,0.0010788306633958626,1488326830.3721962,8.194537646741726e-05,1488326735.730952,37.27256383192649
26,1488326737.230628,78.0,1488326738.3709571,30.23,1488326737.0503411,0.5786,,,1488326737.13985,741.0,,,,,1488326835.4605372,0.05707395771928564,1488326835.4605372,0.17005837288385806,1488326835.4605372,0.0010784196705443056,1488326835.4605372,8.508060345455546e-05,1488326737.230628,37.25961980498862
27,1488326738.7003572,79.0,1488326739.8412302,30.31,1488326738.52056,0.5784,,,1488326738.6105988,498.0,,,,,1488326840.54831,0.058484352274169225,1488326840.54831,0.17430172165141358,1488326840.54831,0.0010622675555931732,1488326840.54831,8.906761550093369e-05,1488326738.7003572,37.24811271285444
